date,time,open,high,low,close,volume
2017/1/12,0:30,19465,19485,19450,19470,14920
2017/1/12,0:45,19470,19475,19430,19435,13303
2017/1/12,1:00,19440,19470,19435,19465,9862
2017/1/12,1:15,19465,19505,19350,19360,39046
2017/1/12,1:30,19360,19365,19295,19350,51722
2017/1/12,1:45,19350,19455,19330,19445,33177
2017/1/12,2:00,19450,19490,19415,19425,25297
2017/1/12,2:15,19425,19440,19325,19380,39529
2017/1/12,2:30,19380,19390,19295,19315,21174
2017/1/12,2:45,19315,19315,19265,19285,20060
2017/1/12,3:00,19290,19290,19135,19160,29524
2017/1/12,3:15,19160,19215,19115,19150,20176
2017/1/12,3:30,19150,19230,19130,19215,15212
2017/1/12,3:45,19220,19250,19190,19230,11156
2017/1/12,4:00,19235,19250,19195,19240,6504
2017/1/12,4:15,19245,19285,19230,19270,8517
2017/1/12,4:30,19275,19320,19275,19315,7370
2017/1/12,4:45,19320,19325,19270,19290,6665
2017/1/12,5:00,19290,19315,19285,19305,2961
2017/1/12,5:15,19305,19335,19305,19330,2724
2017/1/12,5:30,19335,19335,19335,19335,2475
2017/1/12,8:45,19265,19275,19220,19260,25191
2017/1/12,9:00,19260,19265,19180,19185,58009
2017/1/12,9:15,19185,19185,19080,19115,74105
2017/1/12,9:30,19115,19115,19080,19110,37499
2017/1/12,9:45,19105,19140,19105,19115,29922
2017/1/12,10:00,19120,19130,19100,19130,20730
2017/1/12,10:15,19130,19185,19120,19180,32098
2017/1/12,10:30,19180,19195,19160,19185,30154
2017/1/12,10:45,19180,19205,19180,19195,19216
2017/1/12,11:00,19195,19200,19155,19165,22039
2017/1/12,11:15,19165,19180,19150,19175,17335
2017/1/12,11:30,19175,19190,19160,19160,14593
2017/1/12,11:45,19160,19180,19150,19180,7658
2017/1/12,12:00,19180,19180,19165,19170,6405
2017/1/12,12:15,19170,19185,19155,19155,14693
2017/1/12,12:30,19155,19175,19130,19145,36183
2017/1/12,12:45,19145,19145,19060,19075,58078
2017/1/12,13:00,19075,19085,19050,19055,37620
2017/1/12,13:15,19060,19090,19050,19090,29439
2017/1/12,13:30,19090,19115,19080,19110,20048
2017/1/12,13:45,19110,19120,19095,19110,13219
2017/1/12,14:00,19110,19180,19105,19165,40581
2017/1/12,14:15,19165,19190,19155,19165,27435
2017/1/12,14:30,19165,19165,19135,19150,26080
2017/1/12,14:45,19150,19150,19110,19125,29293
2017/1/12,15:00,19125,19150,19100,19105,29122
2017/1/12,15:15,19115,19115,19115,19115,7334
2017/1/13,16:30,19080,19120,19070,19120,14295
2017/1/13,16:45,19120,19120,19095,19095,5949
2017/1/13,17:00,19095,19105,19055,19060,18053
2017/1/13,17:15,19060,19070,19045,19055,14072
2017/1/13,17:30,19055,19070,19020,19030,18194
2017/1/13,17:45,19025,19045,19010,19020,20940
2017/1/13,18:00,19020,19060,19010,19045,12726
2017/1/13,18:15,19050,19075,19045,19055,11448
2017/1/13,18:30,19055,19075,19030,19070,7955
2017/1/13,18:45,19075,19075,19060,19065,5957
2017/1/13,19:00,19065,19105,19065,19100,12273
2017/1/13,19:15,19100,19110,19085,19090,7670
2017/1/13,19:30,19090,19120,19090,19105,7779
2017/1/13,19:45,19105,19105,19090,19095,5062
2017/1/13,20:00,19095,19115,19080,19110,6718
2017/1/13,20:15,19110,19120,19100,19110,4412
2017/1/13,20:30,19115,19120,19110,19120,3223
2017/1/13,20:45,19120,19125,19100,19115,6503
2017/1/13,21:00,19115,19115,19095,19110,5944
2017/1/13,21:15,19110,19110,19070,19085,8454
2017/1/13,21:30,19085,19100,19070,19070,9581
2017/1/13,21:45,19070,19100,19070,19090,8098
2017/1/13,22:00,19085,19095,19065,19080,5866
2017/1/13,22:15,19080,19115,19075,19105,7748
2017/1/13,22:30,19105,19145,19100,19145,14340
2017/1/13,22:45,19145,19150,19125,19125,7621
2017/1/13,23:00,19130,19140,19105,19120,7237
2017/1/13,23:15,19120,19140,19110,19120,6331
2017/1/13,23:30,19120,19135,19070,19080,21803
2017/1/13,23:45,19080,19090,19035,19055,17801
2017/1/13,0:00,19050,19060,18965,18990,33727
2017/1/13,0:15,18990,19015,18955,19010,18915
2017/1/13,0:30,19010,19040,18985,19035,13433
2017/1/13,0:45,19030,19040,18980,18990,14308
2017/1/13,1:00,18995,18995,18940,18975,20726
2017/1/13,1:15,18980,19015,18960,19010,14160
2017/1/13,1:30,19010,19030,19005,19025,9974
2017/1/13,1:45,19030,19030,18975,18985,8470
2017/1/13,2:00,18985,19010,18980,19000,7100
2017/1/13,2:15,19005,19040,19005,19035,10773
2017/1/13,2:30,19035,19045,19015,19015,6839
2017/1/13,2:45,19020,19045,19015,19040,4824
